ID_compra,fecha_compra,ingrediente,cantidad,unidad,precio_unitario
C0001,2025-10-31,Maiz pelado amarillo,3.803,kg,2716.76
C0002,2025-10-31,Carne de vaca,2.173,kg,17405.01
C0003,2025-10-31,Carne de cerdo,2.173,kg,6431.11
C0004,2025-10-31,Cebolla,2.717,kg,682.39
C0005,2025-10-31,Papa,2.717,kg,952.01
C0006,2025-10-31,Grasa de cerdo,0.432,kg,6972.53
C0007,2025-10-31,Azucar,0.109,kg,1446.35
C0008,2025-10-31,Sal fina,0.103,kg,546.57
C0009,2025-10-31,Sal gruesa,0.098,kg,488.83
C0010,2025-10-31,Caldo de gallina,3.803,unidad,156.01
C0011,2025-10-31,Pimienta blanca,0.022,kg,6104.4
C0012,2025-10-31,Comino,0.013,kg,5731.74
C0013,2025-10-31,Aji locoto,0.027,kg,21702.36
C0014,2025-10-31,Pimenton rojo,0.054,kg,5863.06
C0015,2025-10-31,Hojas de chala,1.087,kg,20488.63
C0016,2025-10-31,Leña,0.408,m2,42002.6
C0017,2025-10-31,Choclo blanco,32.083,unidad,401.43
C0018,2025-10-31,Queso de mesa,0.642,kg,10896.19
C0019,2025-10-31,Leche,0.321,L,2126.27
C0020,2025-10-31,Grasa de cerdo,0.257,kg,6531.43
C0021,2025-10-31,Azucar,0.385,kg,1552.58
C0022,2025-10-31,Sal fina,0.064,kg,612.74
C0023,2025-10-31,Sal gruesa,0.038,kg,525.85
C0024,2025-10-31,Canela,0.004,kg,34526.42
C0025,2025-10-31,Albahaca,0.006,kg,5405.25
C0026,2025-10-31,Leña,0.257,m2,38719.48
C0027,2025-11-15,Maiz pelado amarillo,3.337,kg,2533.52
C0028,2025-11-15,Carne de vaca,1.907,kg,18361.46
C0029,2025-11-15,Carne de cerdo,1.907,kg,7425.9
C0030,2025-11-15,Cebolla,2.383,kg,708.49
C0031,2025-11-15,Papa,2.383,kg,1013.43
C0032,2025-11-15,Grasa de cerdo,0.379,kg,6981.15
C0033,2025-11-15,Azucar,0.095,kg,1552.02
C0034,2025-11-15,Sal fina,0.091,kg,641.2
C0035,2025-11-15,Sal gruesa,0.086,kg,546.03
C0036,2025-11-15,Caldo de gallina,3.337,unidad,164.77
C0037,2025-11-15,Pimienta blanca,0.019,kg,5452.4
C0038,2025-11-15,Comino,0.011,kg,5631.66
C0039,2025-11-15,Aji locoto,0.024,kg,19381.91
C0040,2025-11-15,Pimenton rojo,0.048,kg,5930.74
C0041,2025-11-15,Hojas de chala,0.953,kg,20667.17
C0042,2025-11-15,Leña,0.357,m2,41400.45
C0043,2025-11-15,Choclo blanco,20.417,unidad,441.37
C0044,2025-11-15,Queso de mesa,0.408,kg,11006.62
