ID_lote,fecha_produccion,producto,unidades_producidas,stock_inicial,stock_final
L001-TAM,2025-11-01,Tamal,163,0,9
L001-HUM,2025-11-01,Humita,77,0,4
L002-TAM,2025-11-16,Tamal,143,0,10
L002-HUM,2025-11-16,Humita,49,0,4
L003-TAM,2025-12-04,Tamal,207,0,18
L003-HUM,2025-12-04,Humita,81,0,6
L004-TAM,2025-12-16,Tamal,149,0,14
L004-HUM,2025-12-16,Humita,55,0,2
L005-TAM,2025-12-26,Tamal,181,0,11
L005-HUM,2025-12-26,Humita,83,0,8
L006-TAM,2026-01-09,Tamal,215,0,8
L006-HUM,2026-01-09,Humita,73,0,1
L007-TAM,2026-01-24,Tamal,178,0,2
L007-HUM,2026-01-24,Humita,74,0,5
L008-TAM,2026-02-03,Tamal,189,0,8
L008-HUM,2026-02-03,Humita,75,0,5
L009-TAM,2026-02-19,Tamal,160,0,1
L009-HUM,2026-02-19,Humita,80,0,2
L010-TAM,2026-03-03,Tamal,198,0,4
L010-HUM,2026-03-03,Humita,78,0,5
L011-TAM,2026-03-16,Tamal,179,0,12
L011-HUM,2026-03-16,Humita,85,0,3
L012-TAM,2026-03-27,Tamal,148,0,15
L012-HUM,2026-03-27,Humita,56,0,5
L013-TAM,2026-04-08,Tamal,201,0,12
L013-HUM,2026-04-08,Humita,87,0,5
L014-TAM,2026-04-23,Tamal,127,0,5
L014-HUM,2026-04-23,Humita,65,0,3
L015-TAM,2026-05-06,Tamal,162,0,15
L015-HUM,2026-05-06,Humita,78,0,5
L016-TAM,2026-05-22,Tamal,143,0,1
L016-HUM,2026-05-22,Humita,61,0,3
L017-TAM,2026-06-04,Tamal,158,0,9
L017-HUM,2026-06-04,Humita,58,0,1
L018-TAM,2026-06-22,Tamal,150,0,9
L018-HUM,2026-06-22,Humita,54,0,5
L019-TAM,2026-07-08,Tamal,153,0,7
L019-HUM,2026-07-08,Humita,63,0,5
L020-TAM,2026-07-24,Tamal,143,0,2
L020-HUM,2026-07-24,Humita,73,0,5
